id,vote,Last Grade in School,Age,Gender,Latino or Hispanic Origin,Race,Party,Region
3,2,3,5,2,2,2,2,1
4,2,1,4,2,2,2,2,1
5,1,1,4,1,2,1,3,1
6,2,4,4,2,2,2,3,1
7,,4,3,1,2,1,3,1
8,1,3,4,1,2,9,4,1
9,2,2,4,1,2,2,2,1
10,2,3,3,1,2,1,3,1
11,1,4,5,1,2,1,3,1
12,1,3,5,1,2,1,3,1
13,,0,5,2,2,2,2,1
14,,3,5,1,2,1,1,1
15,,0,5,2,2,1,2,1
16,2,4,4,1,2,1,2,1
17,2,2,4,1,2,1,2,1
18,2,4,4,1,2,2,2,1
19,1,3,4,1,2,1,3,1
20,4,1,5,2,2,2,2,1
21,1,1,4,1,2,1,1,1
22,1,1,5,1,2,1,3,1
24,1,2,2,1,2,1,1,1
25,2,4,4,2,2,1,2,1
26,,1,0,1,2,1,4,1
27,1,1,4,1,2,1,1,1
28,,3,2,1,2,1,1,1
30,1,4,4,2,2,1,1,1
31,3,2,4,2,2,1,1,1
32,2,3,3,2,2,2,2,1
33,2,3,2,2,2,2,3,1
34,1,2,3,2,2,1,1,1
35,1,2,4,2,2,1,2,1
36,3,2,5,1,2,2,4,1
38,,4,2,2,2,3,3,1
39,2,1,3,2,2,2,2,1
40,,1,5,1,2,1,3,1
41,9,4,4,2,2,1,3,1
43,,2,3,2,2,1,1,1
44,1,9,5,2,9,9,9,1
45,1,4,5,2,2,1,1,1
46,1,0,5,2,2,1,4,1
47,2,2,4,2,2,2,2,1
48,1,3,5,2,2,1,1,1
49,,1,4,2,2,1,3,0
50,2,1,5,2,2,2,2,1
51,1,3,4,2,2,1,2,0
52,9,2,2,1,1,4,4,1
53,1,3,4,1,9,9,3,1
54,2,4,5,2,2,1,2,1
56,1,4,5,1,2,1,3,1
58,4,2,1,1,1,4,4,1
59,4,2,1,1,2,5,9,1
60,2,1,5,1,2,1,3,1
61,4,3,5,1,2,1,3,1
62,2,1,2,1,2,2,2,1
63,1,2,4,2,2,1,3,1
64,1,3,5,1,2,1,3,1
65,2,2,4,2,9,2,2,1
66,9,2,4,2,2,1,3,1
67,1,0,5,2,2,1,1,1
68,1,3,5,1,2,1,1,1
69,2,1,5,1,2,1,2,0
70,2,2,5,2,2,1,2,0
71,1,1,5,1,2,1,3,1
72,2,1,4,2,2,1,9,0
73,2,2,3,2,2,1,2,2
74,1,3,4,2,2,1,1,2
75,1,2,5,2,2,1,4,0
77,1,3,5,1,2,1,1,0
78,1,2,3,1,2,1,1,0
79,1,2,3,2,2,1,1,2
80,2,1,5,2,2,1,2,2
81,2,3,2,1,2,1,2,2
82,,3,5,2,2,1,1,2
83,,9,5,2,9,9,9,0
84,,4,1,2,2,1,3,2
85,2,1,5,2,2,1,2,2
86,4,3,5,2,1,2,2,0
87,2,4,5,2,2,1,2,0
88,2,2,2,2,2,2,3,0
89,2,4,5,2,2,1,2,2
91,2,1,5,1,2,1,2,2
92,2,3,5,2,2,1,2,0
93,2,1,0,1,2,1,2,2
94,1,1,3,2,2,1,4,2
95,4,1,5,2,2,1,9,0
96,2,4,3,2,2,5,4,2
97,2,3,4,1,2,1,3,0
98,,0,1,1,2,1,9,0
100,2,1,5,2,2,1,2,0
101,,3,5,1,2,1,2,0
102,2,3,3,2,2,1,2,2
104,1,1,4,2,2,1,1,0
105,1,2,5,2,2,1,1,2
106,4,3,2,1,2,1,3,0
107,4,4,5,1,2,1,3,0
108,1,2,3,1,2,1,3,2
109,,1,4,2,2,1,3,2
110,2,0,5,2,2,2,2,2
113,1,1,4,2,2,1,1,0
114,1,1,5,2,2,1,2,0
115,2,2,3,1,2,1,2,2
116,2,2,5,2,1,4,2,2
118,2,4,4,2,2,1,2,2
119,,1,5,1,2,1,3,0
120,1,4,4,1,2,1,1,2
121,1,0,4,1,2,1,1,2
122,4,0,4,1,2,1,2,0
123,2,2,3,2,2,2,2,2
124,3,2,4,1,2,1,1,0
125,4,2,5,2,2,1,2,0
127,2,3,4,2,2,1,2,0
128,2,4,5,2,2,1,2,2
129,2,4,4,1,2,2,3,0
130,2,3,4,2,2,1,3,0
131,,1,4,2,2,1,2,0
132,1,1,5,2,2,1,1,2
133,2,3,2,1,2,1,3,2
135,1,1,5,2,2,1,4,0
136,4,2,4,1,2,3,1,0
137,2,2,3,1,2,1,2,2
138,2,4,5,1,2,1,2,2
139,1,2,5,2,2,1,1,0
140,3,1,4,1,2,1,3,2
141,3,3,3,1,2,1,4,0
142,1,2,4,1,2,1,3,2
143,2,3,4,1,2,1,2,0
144,4,3,4,1,2,1,3,2
145,2,2,4,1,2,2,2,2
146,1,2,5,2,2,1,1,2
147,1,1,5,2,2,1,1,2
148,2,0,5,1,2,1,3,2
150,,0,4,1,2,2,2,1
151,2,3,4,2,2,1,3,1
152,2,3,3,2,2,1,9,2
153,2,1,4,2,2,1,1,1
154,4,4,5,2,2,1,2,1
155,1,3,3,1,2,1,1,1
156,2,3,2,2,2,2,4,1
157,2,2,5,2,2,1,2,1
158,1,0,5,2,2,1,1,1
159,,2,2,2,2,1,3,1
160,1,1,5,2,2,1,1,1
161,1,3,2,2,2,1,1,1
162,1,4,5,1,2,9,1,1
163,1,2,5,1,2,1,3,1
164,1,2,4,2,2,1,1,1
165,1,1,4,2,2,1,1,1
166,1,2,2,1,2,1,3,1
167,1,4,5,2,2,1,1,1
171,4,2,4,2,2,1,2,1
172,9,2,5,2,2,1,3,2
