id,vote,Last Grade in School,Age,Gender,Latino or Hispanic Origin,Race,Party,Region
817,2,5,18,2,1,1,1,CA
818,2,7,58,1,2,1,3,CA
819,1,5,73,2,2,1,1,CA
820,2,7,43,2,2,5,2,CA
821,3,5,55,1,2,1,1,CA
822,2,8,61,2,2,1,2,CA
823,,5,65,1,2,1,4,CA
824,3,5,28,1,2,1,1,CA
825,1,5,76,2,2,1,1,CA
826,1,5,51,1,2,1,3,CA
827,,5,67,2,2,3,2,CA
828,2,5,25,1,1,5,3,CA
829,2,5,65,2,2,1,2,CA
830,1,5,49,1,1,1,1,CA
831,2,8,42,2,2,1,3,CA
832,1,5,71,2,2,1,1,CA
833,2,7,87,2,2,1,2,CA
834,1,7,70,1,2,1,1,CA
835,1,5,78,1,2,1,1,CA
836,2,5,66,2,2,1,3,CA
837,2,8,68,1,2,1,2,CA
838,1,7,70,1,2,1,1,CA
839,2,8,72,2,2,1,2,CA
840,2,8,75,2,2,1,3,CA
841,1,5,61,1,2,1,1,CA
842,2,8,63,2,2,1,2,CA
843,2,5,70,2,2,1,3,CA
844,2,5,65,1,2,2,2,CA
845,2,8,75,2,2,1,2,CA
846,2,5,60,1,2,1,2,CA
847,1,5,52,2,2,1,1,CA
848,1,7,41,2,2,1,4,CA
849,2,3,40,2,2,5,2,CA
850,,5,29,2,2,2,2,CA
851,2,8,35,1,2,1,2,CA
852,2,8,58,1,2,1,1,CA
853,,5,65,2,2,1,1,CA
854,2,7,70,2,2,1,3,CA
855,2,3,76,2,1,2,2,CA
856,2,5,55,2,2,3,2,CA
857,2,5,61,2,2,2,2,CA
858,2,8,43,2,2,1,2,CA
859,2,7,70,1,2,1,2,CA
860,1,5,53,2,2,1,1,CA
861,1,5,52,2,2,1,4,CA
862,1,8,60,2,2,1,1,CA
863,2,8,58,2,2,1,2,CA
864,2,8,50,2,2,1,2,CA
865,1,3,66,1,2,1,1,CA
866,1,5,78,2,2,1,4,CA
867,2,3,74,2,2,2,2,CA
868,1,5,50,2,2,1,2,CA
869,2,3,82,2,2,1,2,CA
870,2,7,80,2,2,3,2,CA
871,2,8,28,1,2,1,1,CA
872,2,3,54,1,1,1,1,CA
873,,5,23,2,2,3,3,CA
874,2,8,74,2,2,1,3,CA
875,,5,76,2,2,1,2,CA
876,1,5,48,1,2,1,1,CA
877,1,3,45,1,2,1,1,CA
878,2,8,50,2,2,1,2,CA
879,4,3,66,1,1,5,2,AZ
880,,3,19,2,1,5,4,AZ
881,1,7,29,1,2,1,1,AZ
882,2,7,70,1,2,1,2,AZ
883,2,7,22,2,2,1,2,AZ
884,,3,18,1,1,1,3,AZ
885,,5,60,2,2,1,1,AZ
886,1,5,53,2,1,1,3,AZ
887,2,8,68,2,2,1,3,AZ
888,1,7,69,2,2,1,1,AZ
889,2,5,81,1,2,1,2,AZ
890,1,5,72,2,2,1,1,AZ
891,2,5,80,2,2,2,2,AZ
892,,3,43,2,2,1,2,AR
893,1,8,63,2,2,1,3,AR
894,2,5,21,2,2,2,2,AR
895,4,3,49,1,2,1,1,AR
896,,3,29,2,2,1,4,AR
897,1,7,70,1,2,1,3,AR
898,1,5,76,1,2,1,3,AR
899,1,5,52,2,2,1,1,AR
900,2,3,79,1,2,1,2,AR
901,,8,55,1,2,5,1,AL
902,1,3,65,1,2,1,1,AL
903,1,7,38,1,2,1,1,AL
904,,3,55,2,2,2,2,AL
905,4,7,78,2,2,1,2,AL
906,,5,34,2,2,1,4,AL
907,1,7,70,2,2,1,1,AL
908,1,7,33,2,2,1,2,AL
909,,3,23,2,2,2,1,AL
910,2,8,75,1,2,2,2,AL
911,1,7,35,2,2,1,1,AL
912,1,8,28,2,2,1,1,AL
913,1,3,71,1,2,3,3,AL
914,2,7,49,2,2,2,2,AL
915,1,5,69,1,2,1,1,AL
916,2,5,65,1,2,1,2,AL
917,1,7,58,1,2,1,4,AK
918,1,5,53,2,2,1,1,AK
2092,1,6,61,1,2,5,1,CA
6145,,8,75,1,2,5,9,TX
2208,1,3,18,2,2,5,9,OK
2226,1,7,61,2,2,5,1,OK
2237,2,5,53,2,2,5,3,MN
3207,9,2,51,2,2,5,9,NC
6147,,3,18,1,2,2,3,NC
258,,6,51,2,2,3,3,OK
211,,5,83,2,2,5,2,NC
6519,1,5,59,1,2,5,3,TX
6561,1,4,29,1,2,3,3,ME
6206,9,5,36,1,2,5,3,MI
6838,2,3,26,1,2,5,2,CA
3199,1,3,42,2,2,3,1,TX
220,2,6,43,2,2,2,2,TN
6135,,5,24,1,2,3,3,FL
3194,1,7,62,1,2,2,3,TX
3212,2,3,51,2,2,5,3,MO
6785,2,3,46,2,2,5,2,AK
6569,2,5,19,2,2,2,2,NJ
1,,1,48,2,2,3,4,SD
4,2,8,45,2,2,1,3,MN
5,2,5,58,1,2,1,3,MO
6,2,5,65,2,2,1,2,MN
8,1,5,49,1,2,1,3,TX
9,4,3,49,2,2,1,3,LA
10,2,8,67,2,2,2,2,TX
12,1,7,69,2,2,1,3,TX
14,2,7,69,1,1,1,3,TX
15,2,2,65,2,1,1,2,TX
16,,7,28,1,2,2,3,LA
17,2,7,66,1,2,1,3,WY
18,2,6,75,1,2,1,1,NV
19,1,8,79,1,2,1,1,UT
20,1,8,69,1,2,1,1,TX
21,1,3,35,1,2,1,3,TX
22,,8,54,1,2,3,2,TX
23,2,8,69,1,2,1,2,LA
24,1,8,45,2,2,1,3,LA
25,1,7,64,1,2,1,3,AZ
26,1,3,76,2,2,1,1,MT
27,1,7,63,1,2,1,1,NV
28,2,5,36,2,1,4,2,NM
29,1,5,32,2,2,1,1,UT
30,1,7,66,2,2,1,1,AZ
31,2,7,63,1,2,1,3,AZ
33,2,8,43,2,2,1,2,AZ
34,1,6,52,2,2,1,1,CO
35,2,5,75,2,2,1,2,AZ
36,2,8,65,2,2,1,2,CA
37,1,6,67,1,2,1,1,OR
38,,1,48,2,2,1,2,WA
39,2,5,68,2,2,1,3,WA
40,1,3,46,1,2,1,3,CA
41,2,3,60,2,2,2,2,CA
42,2,5,57,2,2,1,2,WA
43,2,7,59,2,2,1,2,CA
44,1,3,46,2,2,1,1,WA
45,4,8,61,1,2,1,1,CA
46,2,7,25,1,2,1,2,CA
47,4,3,99,2,2,2,2,CA
49,2,3,65,1,1,4,2,CA
50,2,7,45,1,2,1,1,CA
51,2,6,53,2,2,2,2,CA
52,2,8,47,1,2,3,2,CA
53,2,3,67,2,1,1,2,CA
54,3,6,80,1,2,1,3,CA
55,2,3,80,2,2,1,2,CA
56,2,7,56,1,2,9,2,NY
57,1,8,60,2,2,1,1,NY
58,2,8,66,2,2,1,2,NY
60,1,8,52,1,2,1,3,PA
61,,6,53,1,2,1,1,NY
62,2,7,53,1,2,1,2,PA
63,2,5,21,1,2,2,2,MI
65,9,3,96,2,2,1,1,PA
66,2,8,53,1,2,1,2,NY
67,,3,86,2,2,1,9,MI
69,,7,60,2,2,1,2,GA
70,1,7,51,1,2,9,3,NY
71,,6,53,2,2,1,3,FL
72,1,6,79,2,2,1,1,PA
73,1,3,53,2,2,1,1,PA
74,2,8,38,2,2,2,3,PA
75,4,3,80,2,2,1,2,OH
76,2,7,51,2,2,1,3,PA
77,4,8,38,1,2,1,3,NY
78,2,5,70,2,2,1,3,FL
79,4,4,71,2,2,1,2,OH
80,,7,40,2,2,1,2,VA
81,,3,18,2,2,3,3,MD
82,1,6,28,1,2,1,1,NY
84,4,3,82,2,2,1,1,PA
85,2,3,75,2,2,1,2,NY
86,9,5,73,2,2,1,3,IN
87,4,6,30,2,2,1,2,NY
88,1,5,74,1,2,1,3,SC
90,4,3,69,1,2,1,3,NY
91,2,6,53,2,2,2,2,NY
92,2,7,99,2,2,1,3,NY
93,1,6,71,2,2,1,1,FL
94,2,5,40,1,2,1,2,IL
95,2,3,79,2,2,1,2,NY
96,1,5,53,1,2,1,3,NY
97,3,7,75,2,2,1,3,MD
98,2,5,59,1,2,1,3,NY
99,3,8,30,1,2,1,4,MD
100,2,1,78,2,2,2,2,NY
101,2,7,41,2,2,1,2,OH
102,2,5,49,1,9,9,2,VA
103,1,7,69,2,2,9,3,OH
104,2,2,70,2,2,1,2,WI
105,1,3,64,1,2,1,3,NC
106,1,6,68,2,2,1,1,IN
107,2,9,99,2,9,9,2,NC
108,3,5,23,2,2,1,3,IN
110,1,7,94,2,2,1,1,NC
111,1,6,41,1,2,1,1,WV
112,1,6,58,2,2,1,1,MI
113,1,4,52,1,2,1,4,NC
114,2,7,55,2,2,1,3,WI
115,2,3,65,2,2,1,2,IL
116,1,8,48,1,2,1,1,NC
117,1,5,42,1,1,1,3,IL
118,2,5,48,1,2,1,3,OH
119,1,3,31,2,2,1,3,NC
120,2,6,56,2,2,2,2,WI
121,1,8,65,1,2,1,3,IL
122,2,6,78,2,9,2,2,NC
123,4,4,23,2,2,1,9,MD
124,3,2,38,1,2,1,4,OH
125,2,3,90,1,2,2,2,IL
126,2,5,76,2,2,1,2,NC
127,2,7,61,2,2,2,2,IL
128,3,3,48,2,2,1,4,OH
129,2,3,21,1,2,1,3,IN
130,2,5,54,1,2,1,3,IN
131,4,7,32,2,2,1,3,OH
132,,3,56,1,2,1,9,IN
133,,5,59,1,2,9,1,IL
134,2,6,42,1,2,1,4,GA
135,1,3,51,1,2,1,4,OH
137,1,3,80,1,2,1,1,VA
138,2,7,68,2,1,4,2,NC
139,9,3,78,1,2,1,9,MI
140,1,7,36,1,2,1,4,GA
142,1,3,75,1,2,1,1,WI
143,4,2,74,2,2,1,3,NC
144,1,5,71,2,2,1,1,MI
145,1,7,47,2,2,1,1,IN
146,2,5,59,2,2,1,2,IN
148,2,5,62,2,2,1,3,IN
149,1,5,72,2,2,1,3,IN
150,2,3,59,2,2,1,2,MI
151,2,3,65,1,1,1,2,WI
152,,5,56,2,2,2,2,GA
153,1,9,99,1,2,1,1,SC
154,,2,71,2,9,2,2,IL
156,2,5,44,2,2,2,2,TN
158,1,4,53,2,2,1,1,TN
159,1,7,62,1,2,1,3,AL
160,1,7,72,1,2,1,1,TN
161,2,3,82,2,2,1,3,AL
162,2,5,21,2,2,2,2,SC
163,1,3,51,1,2,1,4,WV
164,,5,81,2,2,1,1,MD
165,2,6,61,1,2,1,2,NC
166,2,8,67,2,2,1,2,NC
167,4,3,35,2,2,1,3,FL
168,4,1,74,2,2,1,2,AL
171,2,2,72,2,2,1,2,ME
172,2,3,50,1,2,1,3,MA
173,1,3,21,1,2,1,3,PA
174,2,2,21,1,2,2,2,PA
175,2,2,48,1,2,1,2,NY
177,2,5,19,1,1,4,2,NY
178,2,7,40,2,2,1,3,MA
179,2,3,19,1,2,2,2,NC
180,9,7,45,2,9,9,3,GA
181,3,3,38,2,2,1,3,MN
182,,3,45,2,2,1,2,IA
183,,2,48,2,2,1,3,IA
184,3,7,36,1,2,1,1,NC
185,4,5,40,1,2,1,4,IA
186,2,5,76,2,2,1,2,NC
187,1,3,38,1,2,1,3,MO
188,2,3,53,2,2,2,2,MO
189,,3,73,2,2,1,1,WV
190,2,7,39,2,2,1,4,MN
191,4,9,99,1,2,2,9,GA
193,1,3,73,2,2,1,3,MA
194,1,5,50,1,2,1,3,MA
195,2,7,67,2,2,2,2,MA
196,2,5,59,2,2,1,2,CT
197,,6,83,2,2,1,3,CT
198,4,7,50,2,2,1,3,MA
199,2,3,78,2,2,1,2,MA
200,2,6,58,1,2,1,3,MO
201,4,3,47,1,2,1,3,MO
202,2,3,71,2,2,2,2,CT
204,1,5,19,1,2,1,1,MN
206,2,3,51,2,2,1,2,NE
210,1,3,61,2,2,1,1,ME
212,2,3,81,2,2,2,2,NC
213,1,3,45,2,2,1,3,FL
214,,5,33,1,2,1,9,NC
215,2,7,47,1,2,1,3,NC
216,1,7,38,1,2,1,1,NC
217,1,5,45,1,2,1,1,FL
218,1,5,67,1,2,1,1,MD
219,2,5,37,1,2,2,2,MS
221,9,8,69,1,2,1,3,DE
223,3,3,67,1,2,1,3,AL
224,1,2,76,2,1,1,1,MS
225,2,7,59,1,2,2,2,TN
226,2,6,45,2,2,2,2,AL
227,2,3,45,1,2,1,2,TN
230,1,7,40,1,2,1,3,TX
231,4,5,45,2,1,4,3,AR
232,,3,36,1,2,1,9,TX
234,,3,18,1,1,4,3,TX
235,,3,71,1,2,2,3,TX
236,2,3,40,2,2,2,2,LA
238,,3,19,1,1,4,2,TX
239,,2,60,2,1,4,1,TX
240,2,5,47,1,2,2,3,TX
242,,3,28,2,2,1,1,OR
244,2,6,65,2,2,1,2,WA
245,2,5,36,2,1,4,2,CA
247,,5,42,2,2,1,2,OK
248,1,7,71,2,2,1,1,TX
249,1,5,52,1,2,1,1,LA
251,9,7,44,2,2,1,2,TX
252,2,6,66,1,2,1,1,OK
253,1,8,39,2,2,1,1,TX
254,2,8,50,2,2,2,3,TX
256,,5,62,1,1,1,2,TX
257,2,7,40,2,9,9,9,LA
260,,7,49,2,2,1,9,TX
261,1,3,72,1,2,1,1,AR
264,2,5,47,1,2,1,2,OK
266,2,5,28,1,2,1,3,CO
267,2,7,40,1,2,1,2,GA
268,2,5,56,1,2,1,2,CA
269,2,3,43,1,2,1,2,WA
270,4,6,51,1,2,1,1,CA
272,,9,99,1,9,9,9,CA
273,2,7,50,1,9,9,3,CA
274,1,8,57,1,2,1,1,CA
275,1,3,70,1,2,9,3,CA
276,2,3,25,1,1,4,2,WA
277,,8,46,1,2,1,3,CA
278,2,5,38,1,2,1,3,WA
279,1,9,99,1,9,9,9,CA
280,2,7,34,1,2,1,3,CA
281,,7,35,1,2,3,1,CA
282,2,5,42,1,2,3,3,CA
285,1,3,52,1,1,1,3,CA
2001,1,7,58,1,2,1,1,CO
2002,2,7,82,2,1,2,2,NV
2003,,5,99,2,2,1,9,WY
2004,,8,31,2,2,1,1,CO
2005,2,7,53,2,2,1,3,UT
2006,1,8,81,1,2,1,1,AZ
2007,2,8,60,1,2,1,2,MT
2008,1,7,58,1,2,1,2,AZ
2009,2,7,66,1,2,1,2,CO
2010,1,8,56,1,2,1,1,NV
2011,1,2,54,2,2,1,1,ID
2012,3,7,82,2,2,1,3,CO
2013,2,8,66,1,2,1,2,MT
2014,1,5,64,2,2,1,1,UT
2015,1,4,62,2,2,1,1,CO
2016,,6,60,1,2,1,9,CA
2017,1,8,62,2,2,3,3,CA
2018,2,3,18,2,1,4,2,CA
2019,1,3,47,1,2,1,1,OR
2020,1,5,79,2,2,1,1,CA
2021,1,3,71,1,2,1,9,ID
2022,4,7,58,2,2,1,3,CA
2023,1,8,85,2,2,1,1,HI
2024,2,7,83,2,2,2,2,CA
2025,,5,70,1,2,1,4,CT
2026,,8,40,1,2,3,3,CT
2027,2,5,60,1,2,1,2,MA
2028,1,7,39,1,2,1,3,MA
2029,1,5,67,2,2,1,3,MA
2030,2,3,41,1,2,1,1,VT
2031,1,8,83,1,2,1,1,CT
2032,4,3,81,1,2,1,1,ME
2034,2,3,58,2,2,1,2,PA
2035,2,4,61,2,2,1,3,PA
2036,2,5,33,1,2,1,2,NY
2037,2,3,66,1,2,1,2,NY
2038,2,5,27,2,2,1,3,NY
2039,4,1,53,1,2,1,3,NY
2040,,7,45,1,2,1,4,NY
2041,2,7,67,2,2,1,2,PA
2042,,3,57,1,2,1,1,PA
2043,4,3,38,1,2,1,1,NY
2044,4,5,64,2,2,1,3,NJ
2045,1,6,48,2,2,1,3,PA
2046,2,3,71,2,2,1,3,NY
2047,2,3,79,2,2,1,2,PA
2048,1,7,65,1,2,1,1,NY
2049,3,3,18,2,1,4,3,PA
2050,,3,31,1,2,1,4,NY
2051,1,5,65,1,2,1,1,PA
2052,2,5,76,2,2,1,1,NJ
2053,,3,60,1,2,1,3,PA
2054,2,7,61,2,2,1,3,NJ
2055,2,5,59,2,2,1,2,PA
2056,,5,19,2,2,1,4,PA
2057,4,7,41,2,2,1,1,PA
2058,2,4,63,1,2,1,1,NJ
2059,2,7,70,1,2,1,3,VA
2060,2,8,57,2,2,1,3,VA
2061,1,7,35,1,2,1,1,DE
2062,1,7,68,1,2,1,1,VA
2064,2,6,84,2,2,1,3,WV
2065,,8,52,1,2,1,3,NC
2066,2,7,78,2,2,9,2,SC
2067,3,3,55,1,2,1,1,MD
2068,1,7,44,1,2,1,3,VA
2069,1,6,49,2,2,1,2,NC
2070,2,5,48,2,2,2,2,DC
2071,1,5,37,2,2,1,1,FL
2072,1,8,63,1,2,1,4,MD
2073,2,7,69,2,2,2,2,FL
2074,2,5,80,2,2,1,2,VA
2075,2,4,88,2,2,1,3,DE
2078,1,3,56,1,2,1,4,FL
2079,4,9,74,2,2,2,9,GA
2080,2,8,66,2,2,1,3,VA
2081,1,7,87,1,2,1,1,FL
2082,2,3,52,1,2,1,2,NC
2084,2,2,99,2,2,2,2,CA
2085,1,8,68,2,2,1,1,WA
2086,2,6,72,2,1,2,2,CA
2087,2,4,53,2,2,1,2,OR
2088,2,7,59,2,2,1,2,CA
2089,1,7,36,1,2,1,1,CA
2091,4,6,26,2,2,1,1,CA
2093,2,5,65,1,1,1,3,CA
2094,1,7,61,1,2,1,1,OR
2096,2,7,54,2,2,1,3,CA
2098,4,3,41,2,1,4,9,CA
2099,,2,18,1,2,3,3,WA
2100,1,6,38,2,2,1,1,CA
2103,,5,60,2,2,1,2,CA
2104,2,7,45,1,2,2,2,CA
2105,2,8,79,1,2,1,2,CA
2106,9,5,33,1,1,1,9,CA
2107,1,7,79,1,2,1,1,HI
2108,2,7,84,2,2,1,2,OR
2109,2,9,58,1,2,1,4,WA
2110,2,6,43,2,1,1,2,CA
2111,9,6,63,1,2,1,2,CA
2112,3,7,58,1,2,1,3,HI
2113,3,5,87,2,2,1,1,CA
2114,1,6,46,1,2,1,1,WA
2115,1,3,87,2,2,1,1,WA
2116,1,5,58,2,2,1,1,CA
2117,1,7,56,2,2,1,1,CA
2118,2,3,86,2,2,1,2,OR
2119,3,3,20,1,1,4,3,CA
2120,1,8,51,2,2,2,3,WA
2121,2,8,72,1,2,1,3,CA
2122,1,6,41,2,2,1,1,NY
2123,2,7,76,2,2,1,2,NY
2124,3,8,55,2,2,1,3,NY
2125,9,5,60,2,2,1,9,PA
2126,2,3,53,1,2,1,2,NY
2127,2,8,51,2,2,1,3,PA
2128,1,3,36,2,2,1,1,IN
2129,2,3,68,1,1,1,3,IL
2130,1,3,56,2,2,1,1,IL
2131,1,3,85,2,2,1,1,OH
2132,2,7,55,2,2,2,2,IL
2133,1,3,50,1,2,1,4,IL
2135,2,6,60,2,2,1,2,IL
2136,4,8,41,1,2,1,3,MI
2137,1,6,57,2,2,1,1,OH
2138,1,5,76,1,2,1,4,IN
2139,1,7,55,1,2,1,3,IN
2140,2,8,61,2,2,1,2,OH
2141,4,3,63,2,2,1,3,OH
2142,2,8,69,1,2,1,2,OH
2143,1,5,40,1,2,1,3,MI
2144,3,3,28,1,2,1,3,IN
2145,2,7,44,1,2,2,2,OH
2146,,5,24,2,2,1,4,WI
2147,2,7,37,2,2,2,2,IN
2148,2,3,21,2,2,1,3,IN
2149,,4,44,2,2,1,4,WI
2150,2,6,29,2,2,3,9,IN
2151,9,7,41,2,2,1,3,IL
2152,1,7,38,2,2,1,1,MO
2153,1,3,41,1,2,1,1,MO
2154,,5,24,2,2,3,2,MN
2155,2,6,24,2,2,2,2,MS
2156,2,6,65,2,2,2,4,NE
2157,1,4,46,1,2,1,3,TN
2158,,3,42,2,2,1,9,MS
2159,,3,74,1,2,1,2,AL
2160,1,6,49,1,2,1,4,KY
2161,1,5,42,2,2,1,2,AL
2162,2,8,45,1,2,1,4,TN
2163,1,3,50,1,2,1,3,AR
2164,2,3,70,2,2,2,2,TX
2165,2,3,41,1,2,2,2,TX
2166,1,8,43,2,1,1,4,TX
2167,1,7,41,1,2,1,1,TX
2168,1,7,42,1,2,1,1,TX
2170,,3,38,2,2,1,2,TX
2171,2,6,39,2,2,1,2,WI
2172,,3,30,2,2,1,3,IA
2173,2,7,44,2,2,2,2,MS
2175,1,8,50,1,2,1,3,CT
2176,2,3,59,2,2,1,2,CT
2177,2,3,79,2,2,1,2,CT
2178,1,7,50,2,2,1,4,MA
2179,2,3,52,1,1,4,2,CT
2180,,6,42,1,1,4,2,MA
2181,2,3,57,1,2,1,3,CT
2182,2,7,47,1,2,1,2,OH
2183,1,7,54,1,2,1,4,WI
2184,1,3,33,2,2,1,4,WI
2186,1,6,51,2,2,1,1,WI
2187,,9,48,2,2,3,4,MS
2188,2,5,34,2,2,1,2,KY
2189,2,7,37,2,2,1,3,KY
2190,,7,53,2,2,2,2,AL
2191,2,7,47,1,2,1,2,AL
2192,2,5,52,1,2,1,2,KY
2193,,3,49,1,2,2,3,KY
2194,3,3,24,2,2,1,4,KY
2195,,6,32,1,2,1,4,AL
2196,,3,39,2,2,1,1,TX
2198,,7,42,1,2,2,1,CA
2199,2,6,34,2,2,1,3,CA
2200,1,6,67,1,2,1,1,CA
2201,2,3,51,2,1,4,2,CA
2204,2,7,26,1,2,1,3,AK
2205,1,7,42,1,1,4,3,CA
2206,,6,51,2,2,3,9,HI
2207,2,5,53,2,2,1,2,CA
2210,4,5,57,2,2,1,2,TX
2212,2,5,62,2,2,1,2,TX
2213,2,8,55,2,2,1,3,TX
2214,1,8,36,2,2,1,1,TX
2215,4,5,64,2,2,1,3,LA
2216,,3,24,1,1,1,9,TX
2217,1,5,69,2,2,1,3,AR
2218,1,3,55,1,2,1,1,TX
2219,3,3,45,2,1,1,2,TX
2220,2,7,50,1,2,1,2,LA
2221,1,5,62,2,2,1,1,OK
2222,2,7,57,2,2,1,2,TX
2223,1,8,62,2,2,1,1,TX
2224,1,5,64,2,2,1,1,TX
2227,9,6,40,1,2,1,3,TX
2228,1,3,64,1,1,4,1,TX
2229,2,5,21,1,1,4,2,TX
2230,4,3,48,1,2,1,1,TX
2231,2,8,55,1,2,1,3,IN
2232,2,7,60,1,2,1,3,IN
2233,1,4,60,1,2,1,1,WI
2234,2,8,51,2,2,1,2,IL
2235,1,3,50,1,2,1,1,WI
2236,2,6,86,1,2,1,2,IL
2239,1,6,61,1,2,1,1,MN
2240,4,5,28,2,2,1,9,MO
2241,2,4,53,1,2,1,2,NE
2242,4,8,61,2,2,1,1,KS
2243,2,7,62,1,2,1,1,MO
2244,,5,55,2,1,1,4,MS
2245,1,7,53,1,2,1,1,AL
2246,1,3,53,1,2,1,1,KY
2247,2,8,60,1,2,1,3,AK
2248,2,7,43,1,2,2,2,WA
2249,,3,31,1,2,1,4,HI
2250,2,5,56,2,2,2,2,CA
3001,2,5,19,2,2,1,3,OH
3002,1,7,61,1,2,1,1,SC
3003,1,7,64,1,2,1,1,FL
3004,2,7,64,1,2,1,3,FL
3005,1,7,47,2,2,1,3,IN
3006,1,3,82,2,2,1,1,IL
3008,1,7,66,1,2,1,3,SC
3009,3,4,66,1,2,1,3,IL
3010,2,7,43,2,2,1,3,MD
3011,,8,56,2,2,1,2,GA
3012,4,7,45,2,2,1,3,IL
3013,2,8,41,1,1,1,4,WI
3014,1,8,56,1,2,1,1,SC
3015,1,6,61,1,2,1,3,OH
3016,2,7,60,1,2,1,2,IL
3017,3,3,62,2,2,1,3,VA
3018,4,3,75,2,2,1,4,OH
3019,2,5,59,2,2,2,2,SC
3021,1,7,33,1,1,4,4,IN
3022,2,7,40,1,2,1,3,OH
3023,2,7,60,2,2,1,2,FL
3024,1,7,47,1,2,1,4,NY
3025,2,8,39,1,2,1,3,WV
3026,1,3,58,1,2,1,4,MD
3027,2,7,51,2,2,1,3,NC
3029,1,7,70,2,2,1,2,NY
3030,1,7,66,1,2,1,3,NY
3031,2,7,54,1,2,2,3,NJ
3032,2,5,50,1,2,1,3,CT
3034,1,3,23,1,2,3,3,NJ
3035,1,7,42,2,2,1,3,MA
3037,4,3,70,2,2,1,4,AL
3038,2,3,41,1,2,1,1,KY
3039,9,3,70,2,2,1,2,KY
3040,2,3,59,2,2,2,2,MS
3041,1,8,91,2,2,1,1,AL
3042,,5,99,1,2,1,4,TN
3043,2,3,69,1,2,1,2,MS
3044,1,8,81,2,2,1,1,KY
3045,4,8,77,1,2,1,4,PA
3046,4,3,76,2,2,1,2,PA
3047,,9,99,2,9,1,9,ID
3048,1,7,38,2,2,1,1,WY
3049,2,8,85,1,2,1,2,MT
3050,1,5,55,2,2,1,1,NM
3051,1,7,60,2,2,1,1,ID
3052,1,5,35,2,2,1,1,OR
3053,4,8,73,1,1,1,4,AK
3054,4,7,81,1,2,1,3,UT
3055,,2,22,1,2,1,3,UT
3056,1,7,62,1,2,3,4,NV
3057,2,7,48,2,2,1,2,CA
3058,1,6,72,1,2,1,3,UT
3059,2,5,52,2,2,1,3,CA
3060,2,7,56,2,2,1,3,CO
3061,2,8,76,2,2,1,2,NV
3062,1,3,56,2,2,1,4,CA
3063,2,8,71,2,2,1,2,NM
3064,1,7,59,1,2,1,3,AZ
3065,2,8,49,2,2,1,1,CA
3066,2,7,76,2,2,1,3,WY
3067,2,5,76,1,2,1,3,CA
3068,1,7,63,1,1,4,1,NV
3069,2,3,60,1,2,1,3,AK
3070,2,8,55,1,2,1,2,CA
3071,,2,25,1,1,4,4,CA
3072,1,8,58,2,2,1,3,CA
3073,4,7,41,1,2,1,3,AZ
3074,2,6,63,2,2,1,2,WA
3075,2,5,73,2,2,2,2,CO
3076,,8,33,1,1,4,3,CA
3077,9,7,53,2,2,1,3,WA
3078,2,3,46,1,2,1,4,WA
3079,1,5,75,1,2,1,1,NC
3080,,3,38,1,2,1,9,PA
3082,,7,68,2,2,1,1,GA
3083,9,8,38,2,2,1,3,IN
3084,1,5,78,1,2,1,1,FL
3085,1,3,94,2,2,1,1,NY
3086,2,5,50,2,1,4,2,IL
3087,2,6,39,1,2,1,3,PA
3088,1,5,70,1,2,1,3,VA
3089,4,2,63,2,2,1,2,NJ
3090,2,3,77,2,2,1,2,GA
3091,2,7,50,1,2,1,3,PA
3092,,8,46,2,1,1,3,NC
3093,1,7,57,2,2,1,1,GA
3094,,8,20,1,2,2,4,NY
3095,1,8,36,1,2,1,1,PA
3096,2,3,72,1,2,2,2,IL
3097,1,5,80,2,2,1,1,FL
3098,1,5,73,1,2,1,3,FL
3099,2,4,79,2,2,1,2,VA
3100,2,7,61,2,2,1,2,MD
3101,,3,51,1,1,1,3,NJ
3102,2,2,74,1,2,1,2,NY
3103,2,5,56,2,2,1,2,NJ
3104,2,8,45,1,2,1,2,NY
3105,1,8,80,1,2,1,1,MD
3106,2,8,64,2,2,1,3,NY
3107,2,6,76,2,2,1,2,MI
3108,3,3,51,2,2,1,1,PA
3109,2,6,61,2,2,1,3,FL
3110,,5,38,1,2,1,1,NY
3111,3,6,47,1,2,1,1,GA
3112,,3,42,1,2,1,3,NY
3113,2,3,38,2,1,4,3,NY
3114,2,6,48,2,2,2,2,OH
3115,1,3,36,2,2,1,1,FL
3116,,3,44,2,2,1,2,PA
3117,1,2,21,2,2,1,2,VA
3118,2,7,61,1,2,2,2,PA
3119,4,3,76,1,2,2,3,VA
3120,2,7,39,2,2,1,2,PA
3121,1,8,70,2,2,1,1,NC
3122,2,6,41,2,2,1,3,NY
3123,,2,44,1,2,1,2,OH
3124,2,5,40,2,2,2,2,MI
3125,2,3,38,1,2,2,2,FL
3126,4,7,44,1,2,1,3,FL
3127,2,6,55,1,2,1,3,VA
3128,2,3,51,2,2,2,3,NC
3129,2,7,44,1,2,1,2,WV
3130,,2,79,1,2,1,2,NY
3131,2,7,23,1,2,1,2,NY
3133,1,8,44,2,2,1,3,GA
3134,2,5,18,2,1,4,3,NY
3135,4,7,48,1,2,1,3,SC
3136,2,3,99,2,2,1,2,NY
3137,4,7,47,2,2,3,1,NJ
3138,1,5,64,2,2,1,1,VA
3139,2,7,99,2,2,1,2,NJ
3140,2,3,63,1,2,1,3,PA
